ID1 ID2 UDdiam LDdiam e_LDdiam Band mu-lambda Method BandCode Notes BibCode Com CADARS SimbadName _RA _DE
HD18191 "RZ ARI" 8.497 9.5 2 R 1.118 2 4 "for a fully limb-darkened disk" 1975AJ.....80..689A "" 5 HD18191 43.95207 18.33164
HD175775 "XI 2 SGR" 2.683 3 1 R 1.118 2 4 "for a fully limb-darkened disk" 1975AJ.....80..689A "" 6 HD175775 284.43250 -21.10666
HD44478 "MU GEM" 16 16.5 1 V "" 2 3 "" 1975ApJ...198..127N "" 15 HD44478 95.74011 22.51358
HD156014 "ALF HER A" 62 "" 7 580nm "" 1 3 "value quoted from Knapp,S.L., Thesis, Univ. Maryland, 1974." 1975ApJ...198..561K "" 13 HD156014 258.66189 14.39037
HD139663 "42 LIB" 2.2 "" 0.3 V "" 2 3 "" 1975MNRAS.170..229H "" 5 HD139663 235.07041 -23.81808
HD168574 "70 SGR" 3.2 "" 0.8 V "" 2 3 "" 1975MNRAS.170..229H "" 3 HD168574 275.38069 -24.91527
HD207005 "47 CAP" 2.8 "" 0.6 V? "" 2 3 "" 1975MNRAS.170..229H "" 3 HD207005 326.56779 -9.27594
HD112142 "PSI VIR" 5.456 6.1 0.3 630nm 1.118 2 4 "for a fully limb-darkened disk. Close double mag diff 4.4" 1975MNRAS.173p..29W "" 6 HD112142 193.58818 -9.53899
HD223075 "TX PSC" 9.124 10.2 2.4 694nm 1.118 2 4 "for a fully limb-darkened disk" 1975MNRAS.173p..61D "" 9 HD223075 356.59797 3.48681
HD4656 "DEL PSC" 4.2 "" 1 B "" 2 2 "" 1976A&A....47..457D "" 7 HD4656 12.17060 7.58508
HD39004 "BD +27 888" 2.4 "" 1.2 500nm "" 2 2 "" 1976A&A....47..457D "" 3 HD39004 87.74212 27.96786
HD48329 "EPS GEM" 5.6 "" 0.6 500nm "" 2 2 "" 1976A&A....47..457D "" 12 HD48329 100.98303 25.13113
HD64960 "1 CNC" 2.1 "" 0.6 600nm "" 2 4 "" 1976A&A....47..457D "" 3 HD64960 119.24772 15.79028
HD87837 "31 LEO" 2.8 "" 0.6 550nm "" 2 3 "" 1976A&A....47..457D "" 7 HD87837 151.97613 9.99751
HD196777 "UPS CAP" 8.6 "" 2 726nm "" 2 4 "" 1976A&A....47..457D "" 7 HD196777 310.01227 -18.13866
HD12479 "HR 601" 2.325 2.6 0.5 B 1.118 2 2 "for a fully limb-darkened disk" 1976AJ.....81..650A "" 6 HD12479 30.64615 13.47671
HD39587 "CHI 1 ORI" 1.52 1.7 0.5 B 1.118 2 2 "for a fully limb-darkened disk" 1976AJ.....81..650A "" 10 HD39587 88.59576 20.27617
HD123934 "HR 5301" 3.22 3.6 0.5 B 1.118 2 2 "for a fully limb-darkened disk" 1976AJ.....81..650A "" 5 HD123934 212.71036 -16.30203
HD176124 "SAO 162049" 2.5 2.8 0.9 B 1.118 2 2 "for a fully limb-darkened disk" 1976AJ.....81..650A "" 3 HD176124 284.84925 -19.27936
HD144217 "BET 1 SCO D" 0.264 "" 0.019 393.4nm "" 2 1 "" 1976ApJ...207..994E "" 7 HD144217 241.35930 -19.80545
HD144217 "BET 1 SCO A" 0.422 "" 0.026 393.4nm "" 2 1 "A is a Spectroscopic Binary ." 1976ApJ...207..994E "" 7 HD144217 241.35930 -19.80545
HD87837 "31 LEO" 3.1 3.4 0.6 550nm "" 2 3 "" 1976MNRAS.175p..57G "" 7 HD87837 151.97613 9.99751
HD18191 "RZ ARI" 11.16 "" 0.99 3.45 "" 2 9 "" 1977AJ.....82..414R "" 5 HD18191 43.95207 18.33164
HD18191 "RZ ARI" 9.88 "" 0.2 1.64 "" 2 7 "" 1977AJ.....82..414R "" 5 HD18191 43.95207 18.33164
HD38307 "Y TAU" 7.98 "" 0.23 1.64 "" 2 7 "" 1977AJ.....82..414R "" 7 HD38307 86.41422 20.69504
HD38307 "Y TAU" 8.39 "" 0.24 1.64 "" 2 7 "" 1977AJ.....82..414R "" 7 HD38307 86.41422 20.69504
HD39816 "U ORI" 14.3 "" 0.54 1.64 "" 2 7 "" 1977AJ.....82..414R "" 5 HD39816 88.95487 20.17519
HD39816 "U ORI" 15.45 "" 0.33 2.1 "" 2 8 "" 1977AJ.....82..414R "" 5 HD39816 88.95487 20.17519
HD75156 "DM+13 1994" 3.11 "" 0.51 1.64 "" 2 7 "" 1977AJ.....82..414R "" 5 HD75156 132.16474 12.54694
HD112142 "PSI VIR" 4.92 "" 0.38 1.64 "" 2 7 "" 1977AJ.....82..414R "" 6 HD112142 193.58818 -9.53899
HD123934 "HR 5301" 4.65 "" 0.33 1.64 "" 2 7 "" 1977AJ.....82..414R "" 5 HD123934 212.71036 -16.30203
HIP87668 "V774 SGR" 5.65 "" 0.73 1.64 "" 2 7 "" 1977AJ.....82..414R "" 2 HIP87668 268.60888 -23.23602
BD-214897 "IRC -20 445" 4 "" 1 2.4 "" 2 8 "" 1977AJ.....82..414R "" 0 BD-214897 273.08626 -21.10857
HD193495 "BET CAP" 3.05 "" 0.12 1.64 "" 2 7 "" 1977AJ.....82..414R "" 9 HD193495 305.25270 -14.78149
HD172816 "V3879 SGR" 7.6 8.5 1.5 800nm 1.118 2 5 "Fully Darkened value" 1977AJ.....82..631A "" 8 HD172816 280.72958 -19.28421
HD39587 "CHI 1 ORI" 1.16 1.3 0.5 694nm 1.118 2 4 "Fully Darkened value" 1977AJ.....82..828E "" 10 HD39587 88.59576 20.27617
HD112142 "PSI VIR" 5.81 6.5 0.3 694nm 1.118 2 4 "Fully Darkened value" 1977AJ.....82..828E "" 6 HD112142 193.58818 -9.53899
HD58061 "VY CMA" 420 "" 120 8.3 "" 1 11 "" 1977ApJ...214L..85M "" 2 HD58061 110.74304 -25.76757
HIP24608 GJ411 5.2 "" 1 V "" 1 3 "Capella A Spectroscopic binary" 1977ApJ...217L..55B "" 18 HIP24608 79.17233 45.99799
HIP24608 "ALF AUR B" 4 "" 2 V "" 1 3 "Capella B Spectroscopic binary" 1977ApJ...217L..55B "" 18 HIP24608 79.17233 45.99799
HD34085 "BET ORI" 50 "" "" 650nm "" 1 4 "" 1977Icar...32..450W "" 10 HD34085 78.63447 -8.20164
HD39801 "ALF ORI" 51 "" "" 650nm "" 1 4 "" 1977Icar...32..450W "" 24 HD39801 88.79294 7.40706
HD86663 "PI LEO" 5.2 5.9 0.5 706nm "" 2 4 "" 1977PASP...89...95V "" 7 HD86663 150.05336 8.04422
HD175775 "XI 2 SGR" 3.7 4.2 0.5 706nm "" 2 4 "" 1977PASP...89...95V "" 6 HD175775 284.43250 -21.10666
HD29139 "ALF TAU" 17.889 20 0.7 "" "" 2 "" "" 1978............... "Sandmann, W.H.: cited in 1980AJ.....85.1262E" 29 HD29139 68.98016 16.50930
HD86663 "PI LEO" 3.489 3.9 1 R 1.118 2 4 "for a fully limb-darkened disk" 1978AJ.....83.1100A "" 7 HD86663 150.05336 8.04422
HD100920 "UPS LEO" 2.593 2.9 0.4 R 1.118 2 4 "fully limb-darkened disk" 1978AJ.....83.1100A "" 5 HD100920 174.23721 -0.82375
HD193495 "BET CAP" 2.862 3.2 0.5 y 1.118 2 3 "fully limb-darkened disk" 1978AJ.....83.1100A "" 9 HD193495 305.25270 -14.78149
HD224062 "XZ PSC" 5.635 6.3 0.5 R 1.118 2 4 "for a disk fully darkened at the limb" 1978AJ.....83.1100A "" 2 HD224062 358.69427 0.10931
HD99998 "87 LEO" 2.9 3.2 0.5 550nm "" 2 3 "" 1978AJ.....83.1639W "" 5 HD99998 172.57872 -3.00349
HD42995 "ETA GEM" 9.5 "" 0.15 528nm "" 2 3 "" 1978AN....299..243B "" 4 HD42995 93.71940 22.50679
HD44478 "MU GEM" 13.5 "" 2.5 530nm "" 2 3 "" 1978AN....299..243B "" 15 HD44478 95.74011 22.51358
HD61603 "IRC +20 186" 2.9 "" 0.1 518nm "" 2 3 "" 1978AN....299..243B "" 1 HD61603 115.24383 23.01853
HD87837 "31 LEO" 3.9 "" 0.2 518nm "" 2 3 "" 1978AN....299..243B "" 7 HD87837 151.97613 9.99751
HD61338 "74 GEM" 2.78 "" 0.27 750nm "" 2 4 "" 1978IAUS...80..447W "" 2 HD61338 114.86914 17.67452
HD75156 "BD +13 1994" 4 "" 0.5 750nm "" 2 4 "" 1978IAUS...80..447W "" 5 HD75156 132.16474 12.54694
HD76351 "60 CNC" 3.3 "" 0.4 750nm "" 2 4 "" 1978IAUS...80..447W "" 1 HD76351 133.98145 11.62603
HD123934 "HR 5301" 5 "" 1 b "" 2 2 "" 1978IAUS...80..447W "" 5 HD123934 212.71036 -16.30203
HD100920 "UPS LEO" 2.1 "" 0.7 606nm "" 2 4 "" 1978PASP...90..113J "" 5 HD100920 174.23721 -0.82375
HD5820 "BS 284" 3.04 "" 0.15 1.618 "" 2 7 "" 1979AJ.....84..247R "" 1 HD5820 14.95703 6.48323
HD7773 "S PSC" 3.84 "" 0.37 2.2 "" 2 8 "" 1979AJ.....84..247R "" 1 HD7773 19.39395 8.93130
HD8019 "BD+05 168" 2.84 "" 0.36 2.17 "" 2 8 "" 1979AJ.....84..247R "" 1 HD8019 19.93618 6.16190
HD19737 "U ARI" 6.11 "" 0.34 1.618 "" 2 7 "" 1979AJ.....84..247R "" 0 HD19737 47.76266 14.80009
HD29051 "BD +16 625" 2.92 "" 0.15 2.17 "" 2 8 "" 1979AJ.....84..247R "" 2 HD29051 68.75987 17.20123
HD75156 "BD+13 1994" 4.49 "" 0.59 1.618 "" 2 7 "" 1979AJ.....84..247R "" 5 HD75156 132.16474 12.54694
HD82381 "6 LEO" 3.41 "" 0.27 2.17 "" 2 8 "" 1979AJ.....84..247R "" 1 HD82381 142.98990 9.71577
HD86663 "PI LEO" 4.58 "" 0.33 2.17 "" 2 8 "" 1979AJ.....84..247R "" 7 HD86663 150.05336 8.04422
HD119149 "82 VIR" 4.21 "" 0.24 2.17 "" 2 8 "" 1979AJ.....84..247R "" 3 HD119149 205.40321 -8.70298
HD133774 "NU LIB" 2.77 "" 0.4 2.03 "" 2 8 "" 1979AJ.....84..247R "" 2 HD133774 226.65666 -16.25682
HD151011 "BD -18 4320" 3.24 "" 0.24 2.17 "" 2 8 "" 1979AJ.....84..247R "" 1 HD151011 251.37574 -19.13693
HD156637 "BD -18 4489" 1.65 "" 0.61 1.618 "" 2 7 "" 1979AJ.....84..247R "" 1 HD156637 259.87427 -18.95513
HD161849 "BD -19 4708" 2.24 "" 0.38 2.17 "" 2 8 "" 1979AJ.....84..247R "" 1 HD161849 267.17364 -19.77962
HD312502 "IRC -20 420" 1.53 "" 0.88 1.618 "" 2 7 "Pulsating variable Star" 1979AJ.....84..247R "" 1 HD312502 270.61786 -19.17361
HD172816 "BS 7023" 8.69 "" 0.16 1.618 "" 2 7 "" 1979AJ.....84..247R "" 8 HD172816 280.72958 -19.28421
HD187082 "BD -16 5440" 3.37 "" 0.61 1.618 "" 2 7 "" 1979AJ.....84..247R "" 1 HD187082 297.14131 -16.16371
HD193495 "BET CAP" 3.1 "" 0.4 550nm "" 2 3 "Binary 8.6 mas at 26degr, deltaM=1.87" 1979AJ.....84..257R "" 9 HD193495 305.25270 -14.78149
HD28307 "THE 1 TAU" 2.2 "" 0.3 550nm "" 2 3 binary 1979AJ.....84..872W "" 9 HD28307 67.14373 15.96218
HD29139 "ALF TAU" 18.1 "" 0.3 550nm "" 2 3 "" 1979AJ.....84..872W "" 29 HD29139 68.98016 16.50930
HD193495 "BET CAP" "" 3.04 0.22 "" "" 2 "" "Spectroscopic binary." 1979ApJ...228..497E "" 9 HD193495 305.25270 -14.78149
